period_begin	period_end	period_duration	region_type	region_type_id	table_id	is_seasonally_adjusted	region	city	state	state_code	property_type	property_type_id	median_sale_price	median_sale_price_mom	median_sale_price_yoy	median_list_price	median_list_price_mom	median_list_price_yoy	median_ppsf	median_ppsf_mom	median_ppsf_yoy	median_list_ppsf	median_list_ppsf_mom	median_list_ppsf_yoy	homes_sold	homes_sold_mom	homes_sold_yoy	pending_sales	pending_sales_mom	pending_sales_yoy	new_listings	new_listings_mom	new_listings_yoy	inventory	inventory_mom	inventory_yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	median_dom	median_dom_mom	median_dom_yoy	avg_sale_to_list	avg_sale_to_list_mom	avg_sale_to_list_yoy	sold_above_list	sold_above_list_mom	sold_above_list_yoy	price_drops	price_drops_mom	price_drops_yoy	off_market_in_two_weeks	off_market_in_two_weeks_mom	off_market_in_two_weeks_yoy	parent_metro_region	parent_metro_region_metro_code	last_updated
2015-07-01	2015-07-31	30	national	11	1400	t	 National	National	U.S.	US	Single Family Residential	6	239600.862825085	0.0052627203793349508	0.065157021370131796	254874.395890446	0.0083425846882083654	0.067030862103964584	121.33631408258699	0.0049352921451020215	0.05360931175639938	126.42138281574	0.0037799010117598453	0.051057855786952322	388596.91525914398	0.029855093409712152	0.13174250793232911	476480.222137395	0.044597851744140549	0.20878361588308869	480685.84988095198	-0.00019704906288520174	0.058567243529570767	1508897.1396375501	-0.013543231856633642	-0.031369921978356086	3.87729626248808	-0.17843789078355021	-0.69104441215076973	57.368536072582501	-0	0	0.97609135308609896	0.00033720794522595909	0.0036933644842959135	0.21289820821454999	-0.000945709545995016	0.021641291238766985	0.125829659896012	0.0052534786831339997	0.044282261465789702	0.24360150019802501	-0.0025468551461149957	0.056374039450407004			2024-09-18 00:00:00
2013-08-01	2013-08-31	30	national	11	1400	t	 National	National	U.S.	US	All Residential	-1	209702.119097307	0.0045758530459469871	0.1393003776026982	218236.11224807901	0.0050711150817921435	0.1191362578339441	114.926152282526	0.00850068065801457	0.12324485308765021	118.947778724828	0.0042244257274623997	0.12287970427049832	454354.02341271198	-0.0060681286454505878	0.12868572281293655	526977.65248165501	-0.016883378495500034	0.096040032477813231	583760.88437291398	-0.0064285174147963309	0.14984967233517832	1849939.45057033	0.0010992380472008012	-0.032323868640552145	4.1436520942172903	0.083356946467370463	-0.77865702936744974	61.368727290786801	-2	-16	0.97633933647844595	0.00111785922706098	0.008392989035971965	0.226710143356636	0.001174083783027996	0.027787757715745015	0.056083898975853502	0.0021192991933716016	0.0038938331684544025	0.17566207901797701	-0.0012905497697799917	0.030234839117907003			2024-09-18 00:00:00
2019-08-01	2019-08-31	30	national	11	1400	t	 National	National	U.S.	US	All Residential	-1	293778.53603753302	0.0017396912499478834	0.04372884553387224	304548.56612175697	0.0052431904650274141	0.026948343362524163	157.65530840957399	0.0056638892844929067	0.03406664604956644	162.44604275419701	0.0084397802196394256	0.02545326359113087	531399.33722305903	0.0052664664269417294	0.033005493310852119	608363.01848997001	-0.0032896682460785698	0.031819948079955918	616116.69409157604	0.0027183486498105758	-0.023302941827896939	1537038.9929402799	-0.011963506257874013	-0.0015638205996173493	2.8384952964350898	-0.022163844539120348	-0.14502013040722028	44.439229147206198	1	3	0.98208007547364196	0.0012650388653009381	-0.00061858063504605099	0.227032202772045	0.0015218089890280118	-0.015426866373431991	0.14553092265908499	-0.00030533272022001401	0.0018999308153389849	0.3439750838974	0.00091589120341800667	-0.0031188203102380241			2024-09-18 00:00:00
2012-01-01	2012-01-31	30	national	11	1400	t	 National	National	U.S.	US	Townhouse	13	165994.02379711199			163201.307469316			107.437393255647			108.087043215416			31739.6100871954			37572.966012932498			45244.482558780997			167976.90012157001			5.29330787194524			77.5072979543977			0.96611694001621296			0.19227274625792301			0.072857817623061497			0.11226124467601099					2024-09-18 00:00:00
2020-02-01	2020-02-29	30	national	11	1400	t	 National	National	U.S.	US	All Residential	-1	303119.43714374403	0.0021917671766460423	0.060529019165340925	320830.50560258201	0.012050053794908644	0.066349314363678635	162.352677717586	0.0035667572431945516	0.056051304692418702	169.52735802934899	0.0095294345495131605	0.060311457155112436	547500.23823931196	0.0083358147239456226	0.074697034175555066	681634.52552648203	0.044192223638675587	0.12448396075896917	656663.19190273201	0.036305581221882877	0.065511428710172348	1433818.72882745	-0.00098339653116696901	-0.098442101786426206	2.6027999185013	-0.23844913297982995	-0.72454298792339999	44.288487472264897	-1	-2	0.98571532922062799	0.00065001268023701098	0.0034238228751279909	0.24802782384880501	0.013590644749569003	0.028258297152330997	0.13169503217741099	-0.0028455104066890113	-0.014633981327915019	0.38376549365696599	0.015459516154812003	0.058462427365096992			2024-09-18 00:00:00
2012-10-01	2012-10-31	30	national	11	1400	t	 National	National	U.S.	US	Single Units Only	-2	187521.283238731	0.0051619682596457661		197156.86684585499	0.0057969338371706147		103.60422317604301	0.009913342401571601		107.457543527887	0.0035068665522626219		401666.04683015298	0.0081435167174732648		478700.33179618401	0.015265779472545038		511970.05126881	0.009620943141697591		1794997.2387168701	-0.014765149715466386		4.6128279597743802	-0.12737758307283986		72.827139510049705	-2		0.97231574385249897	0.001651368224024008		0.21741729572019999	0.0085036895942249835		0.044707786068262298	-0.0059659701577726987		0.16145136037097399	0.0067951917127979933				2024-09-18 00:00:00
2017-04-01	2017-04-30	30	national	11	1400	t	 National	National	U.S.	US	Townhouse	13	237735.27287284401	-0.019447897857713281	0.056198598451834281	244170.11254290899	0.0014754417634643691	0.05079149289179119	147.569867078892	-0.010878769127700694	0.055468098974239322	150.985806420964	0.00075526798198044531	0.048832380857650515	47265.065827693397	-0.0053968096085570405	0.068045162824850403	50932.008263901596	-0.018191845192423339	-0.056423240053435464	56816.974914161001	0.0046251001108483791	0.016734622164197965	120914.461597652	0.0095870750110453873	-0.10140754219704651	2.6128128689345802	0.0044527904581901367	-0.43680873260698982	37.424350365381997	0	-9	0.98492245951662405	-0.00093267552137499266	0.003598452715725009	0.25743056821796001	0.0013390309074859941	0.030040674570251003	0.082651562077772703	0.00054380987761820654	-0.012342409013579303	0.33080274350753403	0.012886336258290998	0.071973376315809023			2024-09-18 00:00:00
2024-01-01	2024-01-31	30	national	11	1400	t	 National	National	U.S.	US	Townhouse	13	372681.45197529998	0.005992078985302518	0.043637264579190704	379403.79395964002	0.017714121177218711	0.04363730999355897	227.674403614845	-0.0069158480654942789	0.028158755125332391	233.93914679621199	0.014030709354119431	0.040694918604135211	42590.753523245497	0.00022734254780898411	0.0026252427495980779	48817.981187258498	0.0061201070646785816	-0.018346460614373172	54128.695546635703	0.00056653012244889389	0.087313051002017916	101710.718026585	0.028543678638993875	0.0080042960177109101	2.4142050173539702	0.057852572068640029	0.010154443328949991	34.177221127963797	1	-3	0.99777756030729203	0.0020850951471270696	0.0076337642716380882	0.32910805008289901	0.015154418072660991	0.047622054689984983	0.149525319509768	-0.011758328305699006	-0.022286803465049992	0.44070699693661602	-0.027837737407658991	0.022042856522371035			2024-09-18 00:00:00
2013-12-01	2013-12-31	30	national	11	1400	t	 National	National	U.S.	US	Single Units Only	-2	211890.64785286001	0.0078062313479045908	0.098053015102453234	220127.91433022401	-0.0044811621980566096	0.091579677355868139	116.56530345223	0.0074342777319511555	0.084745165434189529	119.974371031762	0.002933334997750725	0.097142184464570347	421599.93811792298	0.010227249205295497	0.013585956466323656	515225.40829040599	0.01304904449093125	0.022924791776536724	543033.36980075401	-0.029027031106565571	0.035976067504588594	1818340.9531817499	-0.00073193287867112655	0.018590150993930132	4.4515562905929098	-0.041477300698000263	0.11390521499671014	61.3189635482548	-0	-8	0.97656630710588999	0.00023726171960203324	0.0016355019884569666	0.215394014903771	-0.0022121346281190057	-0.017306604338983012	0.115203334610282	0.042032663496916603	0.04981000909923379	0.161373364942583	-0.018991905648335999	-0.012268324026858984			2024-09-18 00:00:00
2017-08-01	2017-08-31	30	national	11	1400	t	 National	National	U.S.	US	Townhouse	13	241595.787733434	-0.0058233675502725735	0.056313662507370577	251760.246065894	0.0049119998292697087	0.055630011611629282	151.00456683451301	-0.0035132245676389173	0.057966158758887776	154.44853697092	0.0036395621620246565	0.048860383845140021	47833.522027553299	-0.0010503335331218944	0.059000065018534942	53624.580154155999	0.003115968142473946	0.033435001415479393	53878.742383642202	-0.027076688472394639	0.046591067239138972	115364.849573211	-0.016706432945150285	-0.092775379748658682	2.4735924407077201	0.024841717620390114	-0.39457366661986004	34.878444181244902	0	-7	0.98763499260692	0.0011080230460810414	0.002576426150366018	0.25749900285010902	-0.0003458226271189635	0.018825320869254009	0.0867814026124238	-0.00019056653956600611	-0.0050017063602639938	0.32645274904157101	0.0028595675039490009	0.040565253790474987			2024-09-18 00:00:00
